Torneo,Posición,PJ,PG,PE,PP,GF,GC,DIF
Campeonato colombiano 1948,4º,18,9,1,8,58,45,13
Campeonato colombiano 1949,CampeónStar*.svg,28,22,4,2,103,37,66
Campeonato colombiano 1950,Subcampeón,30,17,9,4,68,41,27
Campeonato colombiano 1951,CampeónStar*.svg,34,28,4,2,98,29,69
Campeonato colombiano 1952,CampeónStar*.svg,28,20,6,2,70,13,57
Campeonato colombiano 1953,CampeónStar*.svg,22,14,7,1,51,22,29
Campeonato colombiano 1954,5º,17,7,4,6,31,28,3
Campeonato colombiano 1955,4º,27,10,10,7,58,45,13
Campeonato colombiano 1956,Subcampeón,24,16,2,6,48,35,13
Campeonato colombiano 1957,12º,32,8,9,15,38,57,-19
Campeonato colombiano 1958,Subcampeón,36,20,7,9,68,42,26
Campeonato colombiano 1959,CampeónStar*.svg,44,22,14,8,85,52,33
Campeonato colombiano 1960,6º,44,16,13,15,69,57,12
Campeonato colombiano 1961,CampeónStar*.svg,44,25,12,7,95,56,39
Campeonato colombiano 1962,CampeónStar*.svg,44,25,12,7,96,44,52
Campeonato colombiano 1963,CampeónStar*.svg,48,27,9,12,102,61,41
Campeonato colombiano 1964,CampeónStar*.svg,48,21,15,12,87,72,15
Campeonato colombiano 1965,3º,48,18,21,9,91,65,26
Campeonato colombiano 1966,5º,52,23,12,17,98,88,10
Campeonato colombiano 1967,Subcampeón,52,26,13,13,109,74,35
Campeonato colombiano 1968,3º,54,27,16,11,108,68,40
Campeonato colombiano 1969,3º,59,30,17,12,90,56,34
Campeonato colombiano 1970,6º,52,19,18,15,75,57,18
Campeonato colombiano 1971,3º,58,32,13,13,91,52,39
Campeonato colombiano 1972,CampeónStar*.svg,60,35,14,11,91,47,44
Campeonato colombiano 1973,Subcampeón,56,32,14,10,90,46,44
Campeonato colombiano 1974,5º,57,28,12,17,77,49,28
Campeonato colombiano 1975,Subcampeón,57,32,15,10,88,53,35
Campeonato colombiano 1976,3º,59,29,19,11,109,67,42
Campeonato colombiano 1977,3º,57,24,18,15,85,67,18
Campeonato colombiano 1978,CampeónStar*.svg,59,24,20,15,100,85,15
Campeonato colombiano 1979,9º,47,18,11,18,77,63,14
Campeonato colombiano 1980,5º,53,19,19,15,86,81,5
Campeonato colombiano 1981,4º,55,21,17,17,74,67,7
Campeonato colombiano 1982,3º,61,25,15,21,85,69,16
Campeonato colombiano 1983,4º,56,27,17,12,76,51,25
Campeonato colombiano 1984,Subcampeón,54,22,21,11,78,43,35
Campeonato colombiano 1985,3º,54,22,19,13,83,69,14
Campeonato colombiano 1986,3º,56,26,17,13,81,48,33
Campeonato colombiano 1987,CampeónStar*.svg,56,31,20,5,101,55,46
Campeonato colombiano 1988,CampeónStar*.svg,54,34,12,8,92,38,60
Campeonato colombiano 1989,Campeonato cancelado,,,,,,,
Campeonato colombiano 1990,9º,40,14,13,13,51,43,8
Campeonato colombiano 1991,5º,46,19,17,10,72,54,18
Campeonato colombiano 1992,6º,52,19,18,15,61,56,5
Campeonato colombiano 1993,6º,50,18,16,16,60,55,5
Campeonato colombiano 1994,Subcampeón,58,28,11,19,105,73,32
Campeonato colombiano 1995,14º,30,5,13,12,40,53,-13
Campeonato colombiano 1995/96,Subcampeón,60,28,10,22,92,72,20
Campeonato colombiano 1996/97,4º,72,21,20,30,88,88,0
Campeonato colombiano 1998,8º,56,17,21,18,63,70,-7
Campeonato colombiano 1999,7º,50,16,24,10,63,58,5
Campeonato colombiano 2000,5º,44,17,18,9,64,50,14
Campeonato colombiano 2001,8º,50,19,10,21,69,62,7
Torneo Apertura 2002,13º,22,5,8,9,17,21,-4
Torneo Finalización 2002,16º,22,6,5,11,25,31,-6
Torneo Apertura 2003,4º,24,10,8,6,30,23,7
Torneo Finalización 2003,5º,24,11,3,10,30,28,2
Torneo Apertura 2004,9º,18,7,5,6,23,22,1
Torneo Finalización 2004,17º,18,3,4,11,14,29,-15
Torneo Apertura 2005,14º,18,4,9,5,25,33,-8
Torneo Finalización 2005,14º,18,7,3,8,22,21,1
Torneo Apertura 2006,8º,24,8,9,7,32,31,1
Torneo Finalización 2006,8º,24,11,3,10,29,29,0
Torneo Apertura 2007,3º,24,11,6,7,33,25,8
Torneo Finalización 2007,11º,18,5,5,8,18,28,-10
Torneo Apertura 2008,11º,18,6,6,6,23,23,0
Torneo Finalización 2008,9º,18,8,4,6,26,18,8
Torneo Apertura 2009,15º,18,3,8,7,16,20,-4
Torneo Finalización 2009,9º,18,6,8,4,24,20,4
Torneo Apertura 2010,14º,18,5,4,9,22,29,-7
Torneo Finalización 2010,12º,18,6,4,8,25,25,0
Torneo Apertura 2011,6º,22,9,5,8,35,28,7
Torneo Finalización 2011,3º,22,10,4,8,27,23,4
Torneo Apertura 2012,13º,18,4,8,6,22,23,-1
Torneo Finalización 2012,CampeónStar*.svg,26,14,7,5,34,16,18
Torneo Apertura 2013,4º,24,11,5,8,36,26,10
Torneo Finalización 2013,4º,24,10,7,7,37,30,7
Torneo Apertura 2014,3º,22,11,6,5,29,16,13
Torneo Finalización 2014,15º,18,5,5,8,22,28,-6
Torneo Apertura 2015,3º,24,11,7,6,45,29,16
Torneo Finalización 2015,11º,20,7,7,6,20,16,4
Torneo Apertura 2016,4º,22,12,4,6,34,21,13
Torneo Finalización 2016,5º,22,11,3,8,30,27,3
Torneo Apertura 2017,3º,24,11,5,8,33,20,13
Torneo Finalización 2017,CampeónStar*.svg,26,13,9,4,35,20,15
Torneo Apertura 2018,9º,19,7,5,7,19,18,1
Torneo Finalización 2018,11º,19,6,6,7,23,23,0
Torneo Apertura 2019,3º,26,14,8,4,37,20,17
Torneo Finalización 2019,11º,20,8,4,8,24,27,-3
Campeonato colombiano 2020,10º,20,7,9,4,29,21,8
Torneo Apertura 2021,Subcampeón,24,12,5,7,33,25,8
Torneo Finalización 2021,3º,26,14,5,7,45,28,17